Temperature	Magnetization
0.1 0.99442 
0.2 1.0 
0.3 1.0 
0.4 1.0 
0.5 1.0 
0.6 1.0 
0.7 0.999985 
0.8 0.999935 
0.9 0.999625 
1.0 0.999245 
1.1 0.998455 
1.2 0.996865 
1.3 0.994565 
1.4 0.99158 
1.5 0.98644 
1.6 0.979975 
1.7 0.96945 
1.8 0.95716 
1.9 0.93889 
2.0 0.911835 
2.1 0.871745 
2.2 0.79932 
2.3 0.62707 
2.4 0.480695 
2.5 0.316145 
2.6 0.237245 
2.7 0.1895 
2.8 0.183285 
2.9 0.150355 
3.0 0.135825 
3.1 0.11909 
3.2 0.11062 
3.3 0.111435 
3.4 0.09978 
3.5 0.10254 
3.6 0.09247 
3.7 0.09103 
3.8 0.085175 
3.9 0.087225 
4.0 0.08496 
4.1 0.081345 
4.2 0.08013 
4.3 0.074655 
4.4 0.077065 
4.5 0.074565 
4.6 0.07177 
4.7 0.07189 
4.8 0.06686 
4.9 0.068885 
